,tweet,is_retweet
106,"RT @Jali_Cat: 🚨328 Chinese Nationals Caught Trying To Illegally Enter U.S. At Southern Border🚨 

🗣Might be a good time 2remind everyone tha…",True
107,@thomaskaine5 A good way to lose the election.. Will moderate swing state voters who get adequate health ins. from… https://t.co/YtnKSOHgvc,False
108,RT @olgaNYC1211: Americans want answers from @RonJohnsonWI July 4th Moscow trip. Why shortly after the trip did @RonJohnsonWI want to revie…,True
109,"I dont do politics, BUT.. 
Why is everyone going nuts bout Biden?  Like ""great comeback""... BUT wasnt the vote yest… https://t.co/XrPMldLrkv",False
110,"@candydela14 I'm talking with the people who vote for trump, so many dems withhold their vote if it's not Sanders",False
111,RT @RealDavidRush: Why does everything that goes against Bernie get chalked up by his supporters as the Democratic establishment attempting…,True
112,"RT @jennycohn1: Ds must pay serious attention not only to the long lines in red Texas, but also to the long lines in blue L.A. County. Wher…",True
113,"RT @BPinAmerica: ▶️Do not forget to vote for this category as well. Both on Twitter and Website 💙

#KillThisLove #FaveChoreography #iHeartA…",True
114,"@Cozmo23 At least for hunters, dragons shadow is my vote",False
115,RT @SheaSerrano: this is in a historically black neighborhood — i live in a historically white neighborhood (in san antonio) and it took ma…,True
116,RT @hughhewitt: It is far more grave than a mistake. It is a threat against individuals who live with them daily. It is an attack on the ju…,True
117,"@BernieSanders, you need to have some rallies in Florida ASAP. That'll pretty much guarantee you the momentum for t… https://t.co/ppNJWv3aFk",False
118,"RT @itsginnydi: hey, fellow under-30s: please, please, please, for the love of god, please, please vote.

as of 2018, people who are 65+ ar…",True
119,RT @SheaSerrano: this is in a historically black neighborhood — i live in a historically white neighborhood (in san antonio) and it took ma…,True
120,RT @Clifton15Jon: @ICE will get DL records from #FEDS and Catch them after doing a Delta in records #Busted #WWG1GWA #WinningBigly https://…,True
121,"RT @AthertonKD: ""young people don't vote"" is a heckuva way to turn obstacles to voting faced by people with limited resources into a lectur…",True
122,"@belindaofficial As an Australian, I can't vote in a US election, but I wholeheartedly support the Democrat cause a… https://t.co/XqoZeQCHF1",False
123,The #IDoNotLikeJoeBiden list is so freaking long - it is power and the protection of power that supports him.  He i… https://t.co/nfNDIuGOKH,False
124,RT @MsJuneDiane: Stop telling your daughters they can be president when you are unwilling to vote for a woman president.,True
125,"RT @v0ongi: 🚨 THE GAP IS NOT SAFE 🚨

Rt and Reply this tweet with keyword ""we love 7"" + #BTSArmy #BestFanArmy #iHeartAwards @BTS_twt 

1 RT…",True
126,"RT @bourgeoisalien: ✅ Biden said he has no empathy for millennials.

✅ Biden said a woman should not have the sole right to decide what hap…",True
127,RT @MAGAPATRIOT_TGM: San Francisco ... Anyone that has driven through there knows Pelosi is bad. How can you vote for her? Do you enjoy wal…,True
128,"How Dare Bernie do in a more honest fashion what [checks notes] Bloomberg and Biden already did.

LOL",False
129,"RT @BrianM13912759: Rep. Matt Gaetz wears gas mask on House floor during vote on coronavirus response package

CAUSE IT'S SO FUNNY WHEN PEO…",True
130,@alley167 @Julietknows1 Hey its the other Biden you said ppl could vote for!!!,False
131,"You want to get Trump out of the White House? Vote Joe!

Endorsements 
Biden (Those that will HELP Joe!)… https://t.co/YTQYVca3lF",False
132,RT @Moanakristinaa: If you vote/voted for Bernie sanders that tells me two things. 1 you know nothing about politics and 2 you believe ever…,True
133,"@BernieSanders Bernie we love you and we got your back and our vote but now you have to talk people that, don't nec… https://t.co/kxlsGmylhF",False
134,"RT @ProfessorAMuse: In order to win 11/3/20 the blue wave must include junior waves; America’s youth.  

I was astounded in ‘16 when I aske…",True
135,An invasion?,False
136,RT @emykat03: What I witnessed yesterday as an election worker in the Los Angeles County was a crime. The election center was close between…,True
137,RT @RedState: Pelosi’s ‘Dirty Little Secret’: She Held Back Coronavirus Funding Bill so DCCC Could Run Super Tuesday Ads Against GOP https:…,True
138,"RT @Johnsnotrich: Sanders is 71 delegates behind a man who supported segregation, was against gay rights and cut social security. GET OUT A…",True
139,"RT @vexedinthecity: Joe Biden won 63% of the black vote in North Carolina. Folks, it's ain't the ""establishment"" changing the race, it's th…",True
140,"RT @traceyecorder: Bernie says that our incarcerated brothers and sisters should have dignity and the right to vote. 

Biden wrote the 94 C…",True
